bank_code,bank_name
354,NECTON INVESTIMENTOS S.A CVM
355,ÓTIMO SCD S.A.
358,MIDWAY S.A.
359,ZEMA CFI S/A
360,TRINUS CAPITAL DTVM
362,CIELO S.A.
363,SINGULARE CTVM S.A.
364,GERENCIANET
365,SIMPAUL
366,BCO SOCIETE GENERALE BRASIL
367,VITREO DTVM S.A.
368,BCO CSF S.A.
370,BCO MIZUHO S.A.
371,WARREN CVMC LTDA
373,UP.P SEP S.A.
374,REALIZE CFI S.A.
376,BCO J.P. MORGAN S.A.
377,BMS SCD S.A.
378,BBC LEASING
379,CECM COOPERFORTE
380,PICPAY
381,BCO MERCEDES
382,FIDUCIA SCMEPP LTDA
383,JUNO
384,GLOBAL SCM LTDA
386,NU FINANCEIRA S.A. CFI
387,BCO TOYOTA DO BRASIL S.A.
389,BCO MERCANTIL DO BRASIL S.A.
390,BCO GM S.A.
391,CCR DE IBIAM
393,BCO VOLKSWAGEN S.A
394,BCO BRADESCO FINANC. S.A.
395,F D GOLD DTVM LTDA
396,HUB PAGAMENTOS
397,LISTO SCD S.A.
398,IDEAL CTVM S.A.
399,KIRTON BANK
400,CC POUP SER FIN CO
401,IUGU SERVICOS NA INTERNET S/A
402,COBUCCIO SCD S.A.
403,CORA SCD S.A.
404,SUMUP SCD S.A.
406,ACCREDITO SCD S.A.
407,ÍNDIGO INVESTIMENTOS DTVM LTDA.
408,BONUSPAGO SCD S.A.
410,PLANNER SCM S.A.
411,VIA CERTA FINANCIADORA S.A.
412,BCO CAPITAL S.A.
414,WORK SCD S.A.
416,LAMARA SCD S.A.
419,NUMBRS SCD S.A.
422,BCO SAFRA S.A.
427,CRED-UFES
428,CRED-SYSTEM SCD S.A.
438,PLANNER TRUSTEE DTVM LTDA
456,BCO MUFG BRASIL S.A.
464,BCO SUMITOMO MITSUI BRASIL S.A.
473,BCO CAIXA GERAL BRASIL S.A.
477,CITIBANK N.A.
479,BCO ITAUBANK S.A.
487,DEUTSCHE BANK S.A.BCO ALEMAO
488,JPMORGAN CHASE BANK
492,ING BANK N.V.
495,BCO LA PROVINCIA B AIRES BCE
505,BCO CREDIT SUISSE S.A.
545,SENSO CCVM S.A.
600,BCO LUSO BRASILEIRO S.A.
604,BCO INDUSTRIAL DO BRASIL S.A.
610,BCO VR S.A.
611,BCO PAULISTA S.A.
612,BCO GUANABARA S.A.
613,OMNI BANCO S.A.
623,BANCO PAN
626,BCO C6 CONSIG
630,SMARTBANK
633,BCO RENDIMENTO S.A.
634,BCO TRIANGULO S.A.
637,BCO SOFISA S.A.
643,BCO PINE S.A.
652,ITAÚ UNIBANCO HOLDING S.A.
653,BCO INDUSVAL S.A.
654,BCO DIGIMAIS S.A.
655,BCO VOTORANTIM S.A.
707,BCO DAYCOVAL S.A
712,BCO OURINVEST S.A.
720,BCO RNX S.A.
739,BCO CETELEM S.A.
741,BCO RIBEIRAO PRETO S.A.
743,BANCO SEMEAR
745,BCO CITIBANK S.A.
746,BCO MODAL S.A.
747,BCO RABOBANK INTL BRASIL S.A.
748,BCO COOPERATIVO SICREDI S.A.
751,SCOTIABANK BRASIL
752,BCO BNP PARIBAS BRASIL S A
753,NOVO BCO CONTINENTAL S.A.
754,BANCO SISTEMA
755,BOFA MERRILL LYNCH BM S.A.
756,BANCO SICOOB S.A.
757,BCO KEB HANA DO BRASIL S.A.
